program,skolkod,andel_med_gr_behorighet
Nationella program,31315191,"91,7"
Nationella program,80357110,..
Nationella program,42775003,"99,3"
Nationella program,56670842,"100,0"
Nationella program,89370947,"97,5"
Nationella program,18451445,..
Nationella program,48555205,"86,9"
Nationella program,31313926,"72,4"
Nationella program,30312720,"92,6"
Nationella program,32116280,"92,2"
Nationella program,57143976,"86,0"
Nationella program,93367005,"60,6"
Nationella program,53175499,"100,0"
Nationella program,64388538,"100,0"
Nationella program,52153758,"100,0"
Nationella program,16501673,"55,3"
Nationella program,26298615,..
Nationella program,22116645,"95,2"
Nationella program,99755443,"97,0"
Nationella program,30167976,"88,4"
Nationella program,50104466,"70,0"
Nationella program,28004794,..
Nationella program,32071849,"99,0"
Nationella program,79845033,"73,3"
Nationella program,41099519,"68,0"
Nationella program,59386837,"45,9"
Nationella program,21627442,"38,2"
Nationella program,17276047,"69,8"
Nationella program,73217812,..
Nationella program,21382451,"90,7"
Nationella program,48244956,"74,5"
Nationella program,36769815,"92,6"
Nationella program,16931486,..
Nationella program,92489953,"70,4"
Nationella program,43873969,"93,5"
Nationella program,55825382,"72,4"
Nationella program,19306558,"80,0"
Nationella program,35301145,"87,5"
Nationella program,24993048,"76,0"
Nationella program,70132092,"27,1"
Nationella program,65034473,.
Nationella program,13084253,"62,7"
Nationella program,32321364,..
Nationella program,59942080,"72,5"
Nationella program,66273269,"62,5"
Nationella program,82888663,..
Nationella program,11275959,"31,8"
Nationella program,58518163,"67,5"
Nationella program,50615280,"77,8"
Nationella program,19035583,..
Nationella program,27993549,"31,5"
Nationella program,37912396,"81,8"
Nationella program,45593337,"85,5"
Nationella program,90312942,"23,8"
Nationella program,10226870,"95,0"
Nationella program,19839859,"46,2"
Nationella program,80280597,..
Nationella program,67628478,"100,0"
Nationella program,37517404,"58,8"
Nationella program,29159460,"52,0"
Nationella program,32057701,"95,7"
Nationella program,43601850,..
Nationella program,30615080,"69,0"
Nationella program,89630851,"65,1"
Nationella program,25178582,"87,0"
Nationella program,70543431,"100,0"
Nationella program,23476801,..
Nationella program,86351879,"62,1"
Nationella program,56041144,"84,9"
Nationella program,14586562,..
Nationella program,74322969,"48,2"
Nationella program,90260899,"70,4"
Nationella program,69302313,..
Nationella program,31057219,"42,3"
Nationella program,27079521,"72,4"
Nationella program,33572033,"85,4"
Nationella program,64579522,"71,0"
Nationella program,65234368,"71,4"
Nationella program,34381901,"53,5"
Nationella program,55150847,"93,0"
Nationella program,90076461,"91,8"
Nationella program,96414537,..
Nationella program,53069733,"87,8"
Nationella program,99394620,"97,9"
Nationella program,95368476,"83,0"
Nationella program,14853321,"78,4"
Nationella program,76448076,"37,8"
Nationella program,31537066,"70,0"
Nationella program,86488203,"67,6"
Nationella program,25156286,"80,0"
Nationella program,28081446,"96,7"
Nationella program,21400668,"92,9"
Nationella program,92949043,"76,6"
Nationella program,92818240,"53,7"
Nationella program,84329061,"70,3"
Nationella program,71969230,"47,6"
Nationella program,91048178,"32,6"
Nationella program,82718660,"100,0"
Nationella program,76942525,"42,3"
Nationella program,12399380,"100,0"
Nationella program,31486865,"98,0"
Nationella program,97265732,"98,1"
Nationella program,10373112,..
Nationella program,61720981,"80,1"
Nationella program,25698509,..
Nationella program,50424828,"61,8"
Nationella program,82931004,"64,3"
Nationella program,83584125,"76,5"
Nationella program,95024660,"90,3"
Nationella program,32263814,"94,7"
Nationella program,16496466,..
Nationella program,12075195,..
Nationella program,62300682,..
Nationella program,47393891,"89,3"
